Enc Uniprot Accession	Gene Name	Organism	Phylum	Superkingdom	Taxonomy ID	Family 2 (A or B?)	Double Encapsulin?	Double Enc Operon Position	Enc_Neighbor_Accession	Cargo Type	Cysteine Desulfurase Accessions	Terpene Cyclase Accessions	Polyprenyl Transferase Accession	Xylulose Kinase Accession	Split Sequence?	Genome Neighbors (Genome neighborhood index compared to Encapsulin (Negative values are upstream)| Uniprot Accession | Description| Pfam Family)
A0A093T4B8	KP22_14575	Pectobacterium betavasculorum.	Proteobacteria	Bacteria	55207	Family 2A				Cysteine Desulfurase	A0A093S1V6					"(-10|A0A093RMP3|Porin|PF00691),(-9|A0A093S1U9|Uncharacterized protein|none),(-8|A0A093SX15|Uncharacterized protein|none),(-7|A0A093U733|Uncharacterized protein|none),(-6|A0A093RU97|Uncharacterized protein|none),(-5|A0A093T4B4|Serine O-acetyltransferase|PF00132),(-4|A0A093S1V2|Cysteine synthase|PF00291),(-3|A0A093TCJ8|Mov34/MPN/PAD-1|PF14464),(-2|A0A093U737|Molybdenum cofactor biosynthesis protein MoaD|PF02597),(-1|A0A093RUA1|Molybdenum cofactor biosynthesis protein MoeB|PF00581-PF00899),(1|A0A093S1V6|Cysteine desulfurase|PF00266),(2|A0A093RLS4|Uncharacterized protein|none),(3|A0A093U741|Uncharacterized protein|none),(4|A0A093VHR4|Lipoprotein|PF07759),(5|A0A093T4C1|SulP family transporter|PF00916),(6|A0A093S1W1|Carbonic anhydrase|PF00484),(7|A0A093TCK6|Chemotaxis protein|PF00015-PF00672-PF08376),(8|A0A093U743|Magnesium-transporting ATPase, P-type 1|PF00122-PF00689-PF00690-PF00702),(9|A0A093RUA8|Nickel ABC transporter substrate-binding protein|PF00496),(10|A0A093T4C6|Nickel transporter permease NikB|PF00528)"
A0A095EHT3	DM43_1665	Burkholderia cepacia	Proteobacteria	Bacteria	292	Family 2A				Cysteine Desulfurase	A0A095DM76					"(-10|A0A095DIH5|Alpha/beta hydrolase fold family protein|PF06441),(-9|A0A095FW56|Alpha/beta hydrolase fold family protein|PF00561),(-8|A0A095EH03|Putative cytochrome P460|PF16694),(-7|A0A095DJI1|Uncharacterized protein|PF13663),(-6|A0A095DLD1|Serine hydrolase family protein|PF12697),(-5|A0A095DLW3|Amidase family protein|PF01425),(-4|A0A095DJC5|Putative membrane protein|none),(-3|A0A095DKA5|Rhodanese-like domain protein|PF00581),(-2|A0A095DM83|Serine O-acetyltransferase|PF00132),(-1|A0A095DGX3|Helix-turn-helix family protein|PF01381),(1|A0A095DM76|Cysteine desulfurase|PF00266),(2|A0A095DK56|60 kDa chaperonin|PF00118),(3|A0A095DN52|10 kDa chaperonin|PF00166),(4|A0A095DMG7|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(5|A0A095DJ11|Amidohydrolase family protein|PF01546-PF07687),(6|A0A095DMV5|Lysine-arginine-ornithine-binding periplasmic family protein|PF00497),(7|A0A095DG00|Gram-negative porin family protein|PF13609),(8|A0A095DIZ9|Zinc-binding dehydrogenase family protein|PF08240-PF13602),(9|A0A095EFY3|Bacterial regulatory helix-turn-helix, lysR family protein|PF00126-PF03466),(10|A0A095FVP2|Short chain dehydrogenase family protein|PF13561)"
A0A095GIZ1	C5615_02815	Burkholderia cepacia	Proteobacteria	Bacteria	292	Family 2A				Cysteine Desulfurase	A0A095GK44					"(-10|A0A095EB89|Uncharacterized protein|none),(-9|A0A095E799|Tripartite tricarboxylate transporter TctA family protein|PF01970),(-8|A0A095E8W9|Alpha/beta hydrolase fold family protein|PF00561),(-7|A0A095EAE8|Putative cytochrome P460|PF16694),(-6|A0A095E8R6|Uncharacterized protein|PF13663),(-5|A0A095E576|Serine hydrolase family protein|PF12697),(-4|A0A095E931|Amidase family protein|PF01425),(-3|A0A095E9I8|Rhodanese-like domain protein|PF00581),(-2|A0A095EAF5|Serine O-acetyltransferase|PF00132),(-1|A0A095EB18|Helix-turn-helix family protein|PF01381),(1|A0A095GK44|Cysteine desulfurase|PF00266),(2|A0A095E877|Putative acetylglutamate kinase-like protein|none),(3|A0A095GHJ8|Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2 family protein|PF00359),(4|A0A095GML0|Uncharacterized protein|none),(5|A0A095E991|Uncharacterized protein|none),(6|A0A095F7W1|LysE type translocator family protein|PF01810),(7|A0A095E762|60 kDa chaperonin|PF00118),(8|A0A095EA14|10 kDa chaperonin|PF00166),(9|A0A095E729|Secretory lipase family protein|PF03583),(10|A0A095E9V0|Aldolase_II domain-containing protein|PF00596)"
A0A097EC43	MC45_00270	Sphingomonas taxi.	Proteobacteria	Bacteria	1549858	Family 2A				Cysteine Desulfurase	A0A097EC38					"(-10|A0A097EC49|FAD-containing monooxygenase EthA|PF00743-PF13450),(-9|A0A097EC42|HTH tetR-type domain-containing protein|PF00440),(-8|A0A097EC72|Phytanoyl-CoA dioxygenase|PF05721),(-7|A0A097EC45|Glyoxalase|PF00903),(-6|A0A097EJY9|Acetyltransferase|PF00583),(-5|A0A097EC47|TPR_REGION domain-containing protein|PF00144-PF07719),(-4|A0A097EC44|Uncharacterized protein|PF00561-PF08386),(-3|A0A097EC40|Dihydrodipicolinate synthase|PF00701),(-2|A0A097EC69|Uncharacterized protein|none),(-1|A0A097EC41|DDE_5 domain-containing protein|PF13546),(1|A0A097EC38|Cysteine desulfurase|PF00266),(2|A0A097EJY8|Long-chain fatty acid transporter|PF03349),(3|A0A097EC36|Sulf_transp domain-containing protein|PF04143),(4|A0A097EC64|Uncharacterized protein|none),(5|A0A097EC35|Uncharacterized protein|none),(6|A0A097EC39|Uncharacterized protein|none),(7|A0A097EC34|Uncharacterized protein|none),(8|A0A097EC30|MobA_MobL domain-containing protein|PF03389),(9|A0A097EC59|Uncharacterized protein|none),(10|A0A097EC31|Uncharacterized protein|none)"
A0A098LIE4	MYP_3127	Sporocytophaga myxococcoides.	Bacteroidetes	Bacteria	153721	Family 2A				Cysteine Desulfurase	A0A098LHJ7					"(-10|A0A098LIE6|Uncharacterized protein|PF07642),(-9|A0A098LHK9|Cyclic nucleotide-binding domain-containing protein|PF00027),(-8|A0A098LG09|Coenzyme F420-dependent NADP oxidoreductase|PF03807),(-7|A0A098LG07|YceI family protein|PF04264),(-6|A0A098LHI4|Aromatic ring-cleaving dioxygenase|PF02900),(-5|A0A098LIE5|YceI domain-containing protein|PF04264),(-4|A0A098LHK4|Alpha,alpha-trehalose-phosphate synthase [UDP-forming]|PF00982-PF02358),(-3|A0A098LG03|PhoB family transcriptional regulator|PF00072-PF00486),(-2|A0A098LG02|Histidine kinase|PF00512-PF00672-PF02518),(-1|A0A098LHH9|Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain|PF00072),(1|A0A098LHJ7|Cysteine desulfurase|PF00266),(2|A0A098LG01|Serine O-acetyltransferase|PF00132),(3|A0A098LFZ7|Uncharacterized protein|PF11138),(4|A0A098LHH5|3-dmu-9_3-mt domain-containing protein|PF06983),(5|A0A098LIE3|DoxX family protein|PF07681),(6|A0A098LHJ2|Uncharacterized protein|none),(7|A0A098LFZ6|Uncharacterized protein|PF08327),(8|A0A098LFZ2|RibD_C domain-containing protein|PF01872),(9|A0A098LHG9|MATE efflux family protein|PF01554),(10|A0A098LIE2|Uncharacterized protein|none)"
A0A099D552	CDG81_12890	Actinopolyspora erythraea.	Actinobacteria	Bacteria	414996	Family 2B	Double cNMP-Enc	2	A0A223RT31	Polyprenyl Transferase | Terpene Cyclase		A0A099D720	A0A099D4R3			"(-10|A0A099D555|ATP-dependent DNA ligase|none),(-9|A0A223RT63|DNA ligase (ATP)|PF04679),(-8|A0A099D4R7|DNA ligase|PF13298),(-7|A0A099D5S2|Uncharacterized protein|none),(-6|A0A223RT41|Cyclodipeptide synthase|PF16715),(-5|A0A223RT78|Cyclodipeptide synthase|PF16715),(-3|A0A223RT37|Uncharacterized protein|PF00494),(-2|A0A223RT31|Crp/Fnr family transcriptional regulator|PF00027),(-1|A0A099D720|Terpene synthase|PF19086),(1|A0A099D4R3|Polyprenyl synthetase family protein|PF00348),(2|A0A099D5R8|Beta-mannosidase|PF00150),(3|A0A099D5E1|Carbohydrate kinase|PF00294),(4|A0A099D716|Alpha-galactosidase|PF08305-PF10633-PF16499-PF17801),(5|A0A099D547|Uncharacterized protein|PF00496),(6|A0A099D4Q9|ABC transporter permease|PF00528),(7|A0A099D5R4|ABC transporter permease|PF00528),(8|A0A099D5D6|ABC transporter ATP-binding protein|PF00005-PF08352),(9|A0A099D711|ABC transporter ATP-binding protein|PF00005-PF08352),(10|A0A223RT29|Beta-glucosidase|PF00232)"
A0A099D5E4	IL38_13005	Actinopolyspora erythraea.	Actinobacteria	Bacteria	414996	Family 2B	Double cNMP-Enc	1	A0A099D552	Polyprenyl Transferase | Terpene Cyclase		A0A099D720	A0A099D4R3			"(-10|A0A099D5F4|Uncharacterized protein|none),(-9|A0A099D727|Uncharacterized protein|none),(-8|A0A099D560|Chaperone protein HtpG|PF00183-PF13589),(-7|A0A099D4S0|DUF2267 domain-containing protein|PF10025),(-6|A0A099D5S7|Uncharacterized protein|none),(-5|A0A099D5E8|LLM class F420-dependent oxidoreductase|PF00296),(-4|A0A099D723|Uncharacterized protein|none),(-3|A0A099D555|ATP-dependent DNA ligase|none),(-2|A0A099D4R7|DNA ligase|PF13298),(-1|A0A099D5S2|Uncharacterized protein|none),(1|A0A099D720|Terpene synthase|PF19086),(2|A0A099D552|Crp/Fnr family transcriptional regulator|PF00027),(3|A0A099D4R3|Polyprenyl synthetase family protein|PF00348),(4|A0A099D5R8|Beta-mannosidase|PF00150),(5|A0A099D5E1|Carbohydrate kinase|PF00294),(6|A0A099D716|Alpha-galactosidase|PF08305-PF10633-PF16499-PF17801),(7|A0A099D547|Uncharacterized protein|PF00496),(8|A0A099D4Q9|ABC transporter permease|PF00528),(9|A0A099D5R4|ABC transporter permease|PF00528),(10|A0A099D5D6|ABC transporter ATP-binding protein|PF00005-PF08352)"
A0A0A0N946	D3C57_138615	Streptomyces rapamycinicus  (strain ATCC 29253 / DSM 41530 / NRRL 5491 /AYB-994)	Actinobacteria	Bacteria	1343740	Family 2B	Double cNMP-Enc	2	A0A3L8R781	Xylulose Kinase				A0A3L8R8P4		"(-10|A0A0A0N7P3|Uncharacterized protein|none),(-9|A0A0A0NDU1|Helicase SNF2|PF00176-PF00271-PF12419),(-8|A0A3L8R649|SWF or SNF family helicase|none),(-7|A0A0A0N6F6|Pectin esterase|PF01095),(-6|A0A0A0N3Q3|Xylose isomerase|PF01261),(-5|A0A3L8R8P4|Xylulose kinase|PF00370-PF02782),(-4|A0A0A0N7P7|ROK family protein|PF00480-PF12802),(-3|A0A0A0NDU6|N-acetyltransferase GCN5|PF00583),(-2|A0A0A0N6F9|Uncharacterized protein|PF13653),(-1|A0A3L8R781|Crp/Fnr family transcriptional regulator|PF00027),(1|A0A0A0N7Q0|Uncharacterized protein|none),(2|A0A0A0NDV0|Glucose-methanol-choline oxidoreductase|PF00732-PF05199),(3|A0A0A0N6G3|Acyl-CoA dehydrogenase|PF00441-PF02771),(4|A0A0A0N3Q6|Acyl-CoA dehydrogenase|PF00441-PF02770-PF02771),(5|A0A0A0N950|Alcohol dehydrogenase|PF00107-PF08240),(6|A0A0A0N7Q4|Glutamate--cysteine ligase EgtA|PF04107),(7|A0A0A0NDV3|Hercynine oxygenase|PF03781-PF12867),(8|A0A0A0N6G5|Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase|PF13522),(9|A0A0A0N3Q8|Histidine N-alpha-methyltransferase|PF10017),(10|A0A0A0N955|Peptidase|PF01476-PF01551-PF06737)"
A0A0A1VDH2	AVS7_01378	Acidovorax sp. MR-S7.	Proteobacteria	Bacteria	1268622	Family 2A				Cysteine Desulfurase	A0A0A1VEF8					"(-10|A0A0A1VDI1|Predicted flavoprotein|PF03358),(-9|A0A0A1VEG4|ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components|PF13379),(-8|A0A0A1VDW4|Alkanesulfonate monooxygenase|PF00296),(-7|A0A0A1VDA5|ABC-type nitrate/sulfonate/bicarbonate transport system, permease component|PF00528),(-6|A0A0A1VER1|ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components|PF09084),(-5|A0A0A1VDH6|Aliphatic sulfonates import ATP-binding protein SsuB|PF00005),(-4|A0A0A1VEG0|Molybdenum-pterin-binding protein|PF03459),(-3|A0A0A1VDW0|Transcriptional regulator|PF00126-PF03466),(-2|A0A0A1VDA1|Rhodanese-related sulfurtransferase|PF00581),(-1|A0A0A1VEQ6|Serine O-acetyltransferase|PF00132),(1|A0A0A1VEF8|Cysteine desulfurase|PF00266),(2|A0A0A1VDV5|Sulfurtransferase|PF00581),(3|A0A0A1VD90|YeeE/YedE family protein|PF04143),(4|A0A0A1VEP4|Rhodanese-related sulfurtransferase|PF00581),(5|A0A0A1VDF6|Predicted metal-dependent enzyme of the double-stranded beta helix superfamily|PF05995),(6|A0A0A1VEE7|ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component|PF09084),(7|A0A0A1VDU1|ABC-type nitrate/sulfonate/bicarbonate transport system, permease component|PF00528),(8|A0A0A1VD65|ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component|PF00005),(9|A0A0A1VEN0|Cytochrome c domain-containing protein|PF13442),(10|A0A0A1VDC8|Coenzyme F420-dependent N5,N11-methylene tetrahydromethanopterin reductase|PF00296)"
A0A0A1VQ15	N44_02432	Microcystis aeruginosa NIES-44.	Cyanobacteria	Bacteria	449439	Family 2A				Minor					Family 2A by blast	"(-2|A0A0A1VR10|Cysteine synthase|PF00291),(-1|A0A0A1VPP8|Serine O-acetyltransferase|PF00132),(1|A0A0A1VQG9|Cysteine desulfurase|none),(2|A0A0A1VPI9|Uncharacterized protein|none),(3|A0A0A1VR06|YkuD domain-containing protein|PF03734),(4|A0A0A1VPP4|Uncharacterized protein|none),(5|A0A0A1VQ09|Uncharacterized protein|PF04193),(6|A0A0A1VQG2|Uncharacterized protein|PF08495-PF10442),(7|A0A0A1VPI3|Uma2 domain-containing protein|PF05685),(8|A0A0A1VR01|Alpha/beta superfamily hydrolase|PF07082),(9|A0A0A1VPP1|Two-component response regulator|PF00072),(10|A0A0A1VQ04|Uncharacterized protein|none)"
A0A0A6QB27	NH14_17015	Paraburkholderia sacchari.	Proteobacteria	Bacteria	159450	Family 2A				Cysteine Desulfurase	A0A0A6Q9X5					"(-10|A0A0A6SWV2|Glucose-methanol-choline oxidoreductase|PF00732-PF05199),(-9|A0A0A6QAG3|MFS transporter|PF00083),(-8|A0A0A6QAH7|Fatty acid hydroxylase|PF04116),(-7|A0A0A6QB20|LysR family transcriptional regulator|PF00126-PF03466),(-6|A0A0A6Q9W8|Monooxygenase|PF02771-PF08028),(-5|A0A0A6SWV9|Acyl-CoA dehydrogenase|PF02770-PF02771-PF08028),(-4|A0A0A6QAG8|N5,N10-methylene tetrahydromethanopterin reductase|PF00296),(-3|A0A0A6QA97|Rhodanese|PF00581),(-2|A0A0A6SXA3|Serine O-acetyltransferase|PF00132),(-1|A0A0A6QAI2|DNA-binding protein|PF13560),(1|A0A0A6Q9X5|Cysteine desulfurase|PF00266),(2|A0A0A6SWW6|Uncharacterized protein|none),(3|A0A0A6QAH4|ATP-binding protein|PF00005),(4|A0A0A6QAS9|Cysteine ABC transporter permease|PF00528),(5|A0A0A6QAI9|Amino acid ABC transporter substrate-binding protein|PF00497),(6|A0A0A6QAV6|Monooxygenase|PF02770-PF08028),(7|A0A0A6QB34|Fis family transcriptional regulator|PF00158-PF02954),(8|A0A0A6QBF3|Monooxygenase|PF02770-PF02771-PF08028),(9|A0A0A6Q9Y2|Uncharacterized protein|none),(10|A0A0A6SWX2|Alkanesulfonate monooxygenase|PF00296)"
A0A0A8EC72	GZL_00391	Streptomyces sp. 769.	Actinobacteria	Bacteria	1262452	Family 2B				Terpene Cyclase		A0A0A8EAV9				"(-10|A0A0A8EC68|Uncharacterized protein|none),(-9|A0A0A8EAV2|WD-40 repeat protein|PF00400),(-8|A0A0A8EAZ2|Uncharacterized protein|none),(-7|A0A0A8EA80|4-hydroxy-tetrahydrodipicolinate synthase|PF00701),(-6|A0A0A8EG89|LysR family transcriptional regulator|PF00126-PF03466),(-5|A0A0A8EC71|VanZ domain-containing protein|PF04892),(-4|A0A0A8EAV6|Uncharacterized protein|none),(-3|A0A0A8EAZ5|Putative transporter|PF07690),(-2|A0A0A8EA82|LigA protein|PF03413),(-1|A0A0A8EG92|Peptidase_M48 domain-containing protein|PF01435),(1|A0A0A8EAV9|Cyclase|PF19086),(2|A0A0A8EAZ9|Methyltransferase|PF08241),(3|A0A0A8EA84|Major facilitator superfamily MFS_1|PF07690),(4|A0A0A8EG95|TetR family transcriptional regulator|PF00440-PF17754),(5|A0A0A8EC76|Transmembrane efflux protein|none),(6|A0A0A8EAW4|XRE family transcriptional regulator|PF17765),(7|A0A0A8EB03|Hemerythrin HHE cation binding domain-containing protein|PF01814),(8|A0A0A8EA87|Uncharacterized protein|PF13160),(9|A0A0A8EG99|3-hydroxyacyl-CoA dehydrogenase|PF00725),(10|A0A0A8EC78|Uncharacterized protein|none)"
A0A0A8EE49	GZL_01844	Streptomyces sp. 769.	Actinobacteria	Bacteria	1262452	Family 2B	Double cNMP-Enc	1	A0A0A8EKB6	Xylulose Kinase				A0A0A8EF87		"(-10|A0A0A8EE13|SNF2-related protein|PF00176-PF00271-PF12419),(-9|A0A0A8EK94|Uncharacterized protein|none),(-8|A0A0A8EG58|YceI family protein|PF04264-PF13620),(-7|A0A0A8EEZ6|Homocysteine methyltransferase|PF02574),(-6|A0A0A8EF66|Putative amino acid ABC transporter|PF00497),(-5|A0A0A8EE22|His/Glu/Gln/Arg/opine family amino acid ABC transporter C permease|PF00528),(-4|A0A0A8EKA0|ABC transporter related protein|PF00005),(-3|A0A0A8EG62|Uncharacterized protein|none),(-2|A0A0A8EF03|Acetyl xylan esterase|PF05448),(-1|A0A0A8EF87|Xylulose kinase|PF00370-PF02782),(1|A0A0A8EKB6|Putative transcriptional regulator C Crp/Fnr family|PF00027),(2|A0A0A8EG83|N-acetylmuramoyl-L-alanine amidase|PF01510),(3|A0A0A8EF24|Secreted protein|PF09992),(4|A0A0A8EFA3|Uncharacterized protein|none),(5|A0A0A8EE61|Big_10 domain-containing protein|PF17964),(6|A0A0A8EKC7|Uncharacterized protein|none),(7|A0A0A8EG94|Lysine--tRNA ligase|PF00152-PF01336-PF09924-PF16995),(8|A0A0A8EF35|D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein|PF00389-PF02826),(9|A0A0A8EFA8|Fructose-2 C6-bisphosphatase|PF00300),(10|A0A0A8EE66|Pentulose/hexulose kinase|PF00370-PF02782)"
A0A0A8EHA9	GZL_02669	Streptomyces sp. 769.	Actinobacteria	Bacteria	1262452	Family 2B				Cysteine Desulfurase	A0A0A8EIF2					"(-10|A0A0A8EHC0|ABC transporter ATP-binding protein|PF00005-PF00498-PF01061-PF16697),(-9|A0A0A8EIG3|Pyrimidine utilization transporter G|PF00860),(-8|A0A0A8EMI2|Uncharacterized protein|none),(-7|A0A0A8EG96|Response regulator receiver protein|PF01757-PF13641),(-6|A0A0A8EHG7|HTH tetR-type domain-containing protein|PF00440-PF13977),(-5|A0A0A8EHB5|Uncharacterized protein|none),(-4|A0A0A8EIF7|Amino acid transporter|none),(-3|A0A0A8EMH6|Uncharacterized protein|none),(-2|A0A0A8EG90|Uncharacterized protein|none),(-1|A0A0A8EHG2|Putative integral membrane sensor protein|PF07228-PF13185-PF13581-PF17203),(1|A0A0A8EIF2|Cysteine desulfurase|PF00266),(2|A0A0A8EMH0|Uncharacterized protein|none),(3|A0A0A8EG87|Cation diffusion facilitator family transporter|PF01545-PF16916),(4|A0A0A8EHF7|Regulatory protein|PF12840),(5|A0A0A8EHA4|Winged helix family two component transcriptional regulator|PF00072-PF00486),(6|A0A0A8EIE7|Uncharacterized protein|none),(7|A0A0A8EMG2|Uncharacterized protein|none),(8|A0A0A8EG82|Small ribosomal subunit biogenesis GTPase RsgA|PF03193),(9|A0A0A8EHF2|Uncharacterized protein|PF04306),(10|A0A0A8EH98|Uncharacterized protein|PF13672)"
A0A0A8EKB6	GZL_01845	Streptomyces sp. 769.	Actinobacteria	Bacteria	1262452	Family 2B	Double cNMP-Enc	2	A0A0A8EE49	Xylulose Kinase				A0A0A8EF87		"(-10|A0A0A8EK94|Uncharacterized protein|none),(-9|A0A0A8EG58|YceI family protein|PF04264-PF13620),(-8|A0A0A8EEZ6|Homocysteine methyltransferase|PF02574),(-7|A0A0A8EF66|Putative amino acid ABC transporter|PF00497),(-6|A0A0A8EE22|His/Glu/Gln/Arg/opine family amino acid ABC transporter C permease|PF00528),(-5|A0A0A8EKA0|ABC transporter related protein|PF00005),(-4|A0A0A8EG62|Uncharacterized protein|none),(-3|A0A0A8EF03|Acetyl xylan esterase|PF05448),(-2|A0A0A8EF87|Xylulose kinase|PF00370-PF02782),(-1|A0A0A8EE49|Cyclic nucleotide-binding domain-containing protein|PF00027),(1|A0A0A8EG83|N-acetylmuramoyl-L-alanine amidase|PF01510),(2|A0A0A8EF24|Secreted protein|PF09992),(3|A0A0A8EFA3|Uncharacterized protein|none),(4|A0A0A8EE61|Big_10 domain-containing protein|PF17964),(5|A0A0A8EKC7|Uncharacterized protein|none),(6|A0A0A8EG94|Lysine--tRNA ligase|PF00152-PF01336-PF09924-PF16995),(7|A0A0A8EF35|D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein|PF00389-PF02826),(8|A0A0A8EFA8|Fructose-2 C6-bisphosphatase|PF00300),(9|A0A0A8EE66|Pentulose/hexulose kinase|PF00370-PF02782),(10|A0A0A8EKD2|Pentulose/hexulose kinase|PF00370-PF02782)"
A0A0A8F1C2	GZL_09218	Streptomyces sp. 769.	Actinobacteria	Bacteria	1262452	Family 2B				Terpene Cyclase		A0A0A8EZZ1				"(-10|A0A0A8F1B1|PimS3 protein|PF00109-PF00550-PF00698-PF02801-PF08659-PF08990-PF14765-PF16197),(-9|A0A0A8EZY1|3-hydroxyacyl-[acyl-carrier-protein] dehydratase|PF00107-PF00109-PF00550-PF00698-PF00975-PF02801-PF08240-PF08659-PF08990-PF14765-PF16197),(-8|A0A0A8F5G8|ScnS1|PF00109-PF00550-PF00698-PF02801-PF08659-PF08990-PF14765-PF16197-PF18369),(-7|A0A0A8F1B3|RimC|PF13350),(-6|A0A0A8F1B5|ScnS0|PF00109-PF00501-PF00550-PF00698-PF02801-PF16197),(-5|A0A0A8F1B7|RimH|none),(-4|A0A0A8EZY4|ScnG|PF00067),(-3|A0A0A8F5H3|RimF|PF01041),(-2|A0A0A8F1B8|Putative glucosyl transferase|PF00201),(-1|A0A0A8F1C0|ScnE|PF00732-PF05199),(1|A0A0A8EZZ1|Terpene synthase|PF19086),(2|A0A0A8F5I0|Methyltransferase type 11|PF13649),(3|A0A0A8F1C3|Uncharacterized protein|PF01955),(4|A0A0A8F1C6|Uncharacterized protein|none),(5|A0A0A8F1C7|Uncharacterized protein|none),(6|A0A0A8EZZ6|Uncharacterized protein|PF04978),(7|A0A0A8F5I5|Alcohol dehydrogenase|PF08240-PF13602),(8|A0A0A8F1C8|Kanamycin acetyltransferase|PF00583),(9|A0A0A8F1D1|Uncharacterized protein|none),(10|A0A0A8F1D2|Transposase|PF13586)"
A0A0A8TUL9	None	Acinetobacter bereziniae	Proteobacteria	Bacteria	106648	Family 2A				Cysteine Desulfurase	A0A0A8TPD6					"(-10|A0A0A8TUM4|Uncharacterized protein|none),(-9|A0A0A8TPE3|Transporter, LysE family|PF01810),(-8|A0A0A8TTZ4|Ribosomal RNA large subunit methyltransferase K/L|PF01170-PF02926-PF10672),(-7|A0A0A8TTE3|Uncharacterized protein|none),(-6|A0A0A8TPB1|Uncharacterized protein|PF08238),(-5|A0A0A8TUM1|Chaperone protein ClpB|PF00004-PF02861-PF07724-PF10431-PF17871),(-4|A0A0A8TPE0|Uncharacterized protein|none),(-3|A0A0A8TTZ1|Uncharacterized protein|none),(-2|A0A0A8TTE1|Serine O-acetyltransferase|PF00132),(-1|A0A0A8TPA8|Rhodanese-like domain protein|PF00581),(1|A0A0A8TPD6|Cysteine desulfurase|PF00266),(2|A0A0A8TTY8|M23 family metallopeptidase|PF01551-PF18421),(3|A0A0A8TTD8|OsmC family protein|PF02566),(4|A0A0A8TPA5|Cyclic AMP receptor protein|PF00027-PF13545),(5|A0A0A8TUL6|NADP(H)-dependent aldo-keto reductase|PF00248),(6|A0A0A8TPD2|M48 family peptidase|PF01435),(7|A0A0A8TTY6|EptA_B_N domain-containing protein|PF08019),(8|A0A0A8TTD5|M48 family peptidase|PF01435),(9|A0A0A8TPA2|Adenylosuccinate synthetase|PF00709),(10|A0A0A8TUL4|ATP phosphoribosyltransferase regulatory subunit|PF13393)"
A0A0A8XL94	P23_3100	Acinetobacter calcoaceticus.	Proteobacteria	Bacteria	471	Family 2A				Cysteine Desulfurase	A0A0A8XMD2					"(-10|A0A0A8XLA4|Murein hydrolase export regulator|PF04172),(-9|A0A0A8XMD4|Uncharacterized protein|PF03788),(-8|A0A0A8XIY6|Transcription activator of glutamate synthase, LysR family|PF00126-PF03466),(-7|A0A0A8XKW2|Glutathione S-transferase-like protein|PF13417-PF14834),(-6|A0A0A8XJ33|Glutathione S-transferase-like protein|PF00043-PF02798),(-5|A0A0A8XLA3|Uncharacterized protein|PF09391),(-4|A0A0A8XMD3|Uncharacterized protein|PF01810),(-3|A0A0A8XIX2|Putative transcriptional regulator|PF02311-PF12833),(-2|A0A0A8XKV5|Conserved hypothetical sulfurtransferase protein|PF00581),(-1|A0A0A8XJ19|Serine acetyltransferase|PF00132-PF06426),(1|A0A0A8XMD2|Cysteine desulfurase|PF00266),(2|A0A0A8XIV0|Threonine efflux system|PF01810),(3|A0A0A8XKU5|tRNA_SAD domain-containing protein|PF07973),(4|A0A0A8XIZ5|Transcriptional regulator, LysR family|PF00126-PF03466),(5|A0A0A8XL81|Putative ABC transporter, periplasmic binding protein, amino acid|PF00497),(6|A0A0A8XMD1|Putative ABC transporter, periplasmic binding protein, amino acid|PF00497),(7|A0A0A8XIU4|Putative glutamine transport system ATP-binding protein|PF00005),(8|A0A0A8XKU0|Putative glutamine transport system permease protein|PF00528),(9|A0A0A8XIY8|Polar amino acid transport system permease protein|PF00528),(10|A0A0A8XL75|Uncharacterized protein|none)"
